title,thumbnail,linkUrl,pcLinkUrl,mobileLinkUrl,officeName,rank,hitCount,updatedAt,createdAt,content
"DK, 39억-26억 걸린 e스포츠 대회 위해 사우디 간다",https://imgnews.pstatic.net/image/origin/236/2022/08/01/226144.jpg,https://n.news.naver.com/mnews/article/236/0000226144?sid=10779a79b,https://sports.news.naver.com/news.nhn?oid=236&aid=0000226144,https://n.news.naver.com/sports/esports/article/236/0000226144,포모스,1,0,2022-08-01T00:26:01,2022-08-01T00:10:01,"DK의 슈터 게임 e스포츠 팀들이 각각 300만 달러와 200만 달러가 총상금으로 걸린 e스포츠 대회 출전을 위해 사우디아라비아(이하 사우디)로 향한다. 먼저 DK PUBG 모바일 팀은 사우디 e스포츠 연맹이 8주간에 걸쳐 사우디의 수도 리디야에서 개최하는 e스포츠 축제 ‘게이머스 에이트(Gamers8)’와 연계한 ‘2022 PUBG 모바일 월드 인비테이셔널’ 대회에 출전한다. 이 대회는 총 상금 미화 300만 달러(한화 약 39억 원) 규모로 전 세계의 상반기 ‘PUBG 모바일’과 ‘화평정영’ 대회에서 우승을 차지한 18개 팀이 집결해 상반기 세계최강을 결정한다. DK는 우리나라에서 개최된 ‘PUBG 모바일 프로 시리즈 2022 파이널 스프링’의 우승팀 자격으로 참가하게 된다. 1주차에는 11일부터 13일까지 3일 동안 18개 팀이 미화 2백만 달러(한화 약 26억 원)를 두고 메인 토너먼트 대결을 펼치며 상위 입상 5개 팀에는 2주차 대회에 나설 자격이 함께 주어진다. 이어 2주차에는 18일부터 20일까지 3일 동안 1주차 대결의 상위 5개 팀과 지역에서 선발된 6개 팀, 그리고 특별 초청 1개 팀이 참여하는 ‘애프터파티 쇼다운’이 미화 1백만 달러(한화 약 13억 원) 상금을 두고 진행될 예정이다. 이와 함께 DK 레인보우 식스: 시즈(이하 R6) 팀도 ‘게이머스 에이트’에서 개최되는 총상금 미화 200만 달러(한화 약 26억 원) 규모의 R6 토너먼트에 참가한다. 오늘 4일부터 7일까지 3일간 진행되는 R6 토너먼트는 전 세계에서 모인 8개 팀이 대결을 펼치며 DK는 APAC 지역 팀으로는 유일하게 팀 BDS, 팀 리퀴드, TSM FTX 등과 함께 공식 초청을 받아 대회에 참가한다. DK는 그룹 스테이지에서 팀 리퀴드, 와일드, 스페이스 스테이션 게이밍 등과 함께 A조에 속했으며 더블 엘리미네이션 방식의 대결을 통해 상위 2위에 들면 플레이오프에 진출해 최고의 자리를 노릴 수 있다. 특히 APAC 노스 지구 스테이지2서 1위에 오르며 베를린 메이저 출전권을 획득한 만큼 베를린으로 이동하기 전 실력 확인 및 실전 경험의 기회로 활용할 수 있을 것으로 예상된다. 이미지=게이머스8 공식 SNS"
"플옵 그 위를 노리는 '프린스' 이채환, 담원 기아? ""최근에 힘들어 해…이기겠다"" [인터뷰]",https://imgnews.pstatic.net/image/origin/311/2022/08/01/1483190.jpg,https://n.news.naver.com/mnews/article/311/0001483190?sid=10779a79b,https://sports.news.naver.com/news.nhn?oid=311&aid=0001483190,https://n.news.naver.com/sports/esports/article/311/0001483190,엑스포츠뉴스,2,0,2022-07-31T23:46:01,2022-07-31T23:46:01,"(엑스포츠뉴스 최지영기자) ""플옵 의식 안해. 우리는 그 위를 바라보고 있다"" 지난 30일 서울 종로 롤파크에서는 '2022 LCK 서머' 2라운드 DRX 대 리브 샌박의 맞대결이 진행됐다.  이날 리브 샌박은 DRX를 상대로 2대 1 승리를 거두면서 9승 대열에 합류했다. 이로써 리브 샌박은 4위 자리를 든든하게 굳혔고 3위를 위협할 수 있게 됐다.  원딜 매치가 기대된 이번 경기. '프린스' 이채환은 제리와 시비르를 적극 기용하며 라인전부터 한타에서 대활약상을 펼쳤다.  그는 경기 후 진행된 엑스포츠뉴스와의 인터뷰에서 ""플옵 보다는 우리는 그 위를 바라보고 있기 때문에 경기력에 신경 썼다""며 승리 소감을 전했다. 원딜 매치에 눈길이 쏠린 리브 샌박 대 DRX의 맞대결. 그는 ""상대도 바텀 라인 싸움을 중요하다고 생각해 많이 의식했고 우리도 좋은 상성을 가져가려고 노력했다""고 털어놨다. 아울러 그는 다음 경기 담원 기아전 각오로 ""이길 것이다. 최근 담원 기아가 힘들어하는데 우리가 이기겠다""고 강조했다.  다음은 '프린스' 이채환의 인터뷰 전문이다.  > 플옵 진출이 걸린 중요한 경기였다. 먼저 승리 소감은? 사실 플옵 진출에 대해선 의식하지 않았다. 우리는 그 위를 바라보고 있기 때문에 경기력에 신경 썼다. 그리고 DRX전은 은행더비이기 때문에 무조건 이겼어야했다.  > 농심전 패배가 진짜 아쉬웠을 것 같다. 패배 이유는 무엇이었나? 농심전은 서로 역할에 대한 인지가 부족했고 평소 나오던 실수들이 나왔다.  > 현재 팀 적으로 무엇이 부족하다고 보는가?  서로 서로 역할에 대한 숙지가 아직 부족하다.  > 아직 경기력이 다 올라오지 않았다고 생각한다. 현재 팀 경기력은? 전체적인 부분에서 다섯명을 20%라고 따졌을 때 60-65%인 것 같다. 일단 아직 우린 팀이 아니다. 20% 부분들이 다 채워지고 팀이 하나가 되면 더 발전 될 것 같다.  > 최근 캐리력 좋은 원딜러 데프트와의 맞대결이었다. 만나보니?  DRX가 바텀 쪽에 밴 투자를 많이 하더라. 그래서 상대도 바텀 라인 싸움을 중요하다고 생각해 많이 의식했고 우리도 좋은 상성을 가져가려고 노력했다.  > 1세트 초반부터 어려웠다. 깜짝 바론 시도가 인상적이었는데 오더는?  오더는 내가 했다. 인게임 적으로 힘든 부분이 있을거라고 생각은 했지만 질 거라고는 생각을 전혀 안했다. 왜냐하면 아지르, 제리가 후반 밸류도 높고 특히 내 경우는 제리에 대한 자신감이 높았다. 그래서 끊임 없이 어떻게 하면 이길지에 대해 생각했다.  > 2세트 제리 상대로 코그모를 꺼내들었다. 제리 상대로 카운터라 생각하나?  제리 상대로 좋은 픽이라 생각은 하지 않지만 우리 조합에 좋았고 연습 과정에서도 잘 되어 자신감 있게 꺼내들었다.  > 3세트 상대가 베인을 꺼내들었다. 예상했는가?  예상을 하나도 하지 못했다. 그래도 베인의 장단점을 생각하면서 어떻게 상대해야할지 그리고 이걸 팀원들에게 굉장히 빠르게 전달해줬다. 베인 픽에 대해 팀원들도 당황했기 때문에 어떤 싸움을 해야하는지에 대해 알려줬다.  > 다음 경기가 담원 기아전이다. 방심할 수 없는 상대인데 각오는? 이길 것이다. 최근 담원 기아가 힘들어하는데 우리가 이기겠다.  > 담원 기아를 잡으면 3위까지 올라오는데 3위는 의미 없다. 담원 기아가 5-6위로 떨어지지 않는 이상 큰 의미는 없는 것 같다.   사진=엑스포츠뉴스DB"
"[LCK] '딜라이트' 유환중 ""그동안 많은 기회에도 승리 못해 아쉬워""",https://imgnews.pstatic.net/image/origin/347/2022/08/01/165148.jpg,https://n.news.naver.com/mnews/article/347/0000165148?sid=10779a79b,https://sports.news.naver.com/news.nhn?oid=347&aid=0000165148,https://n.news.naver.com/sports/esports/article/347/0000165148,데일리e스포츠,3,0,2022-07-31T23:01:01,2022-07-31T23:01:01,"프레딧 브리온의 '딜라이트' 유환중이 뒤늦게 올라온 경기력에 대해 아쉬움을 표했다. 프레딧은 31일 서울 종로구 그랑서울 LCK 아레나에서 진행된 2022 리그 오브 레전드 챔피언스 코리아 서머 2라운드에서 농심 레드포스를 2대0으로 꺾고 최하위 탈출에 성공했다. 유환중은 1세트에서는 세트를, 2세트에서는 레오나를 플레이하며 팀의 승리를 도왔다. 경기 후 인터뷰에서 유환중은 ""지금까지 경기하면서 이길 수 있는 경기가 많았다고 생각한다""며 ""그런 경기들에서 이기지 못하면서 흐름을 놓친 것이 아쉽다""고 말하며 지금까지 시즌을 돌아봤다.  또, ""비록 이미 플레이오프 진출에는 실패했지만 계속해서 연패를 하고 있었기 때문에 오늘 경기가 중요하다고 생각했었다""며 ""승리해서 기분이 좋다""고 승리 소감을 밝히기도 했다.  Q, 승리 소감은. A, 비록 이미 플레이오프 진출에는 실패했지만 계속해서 연패를 하고 있었기 때문에 오늘 경기가 중요하다고 생각했다. 승리해서 기분좋다.  Q, 지난 광동 프릭스전을 아쉽게 패배했다. 어떤 피드백을 했는지. A, 초반에 불리하게 시작된 게임을 잘 따라갔는데 마지막에 큰 실수가 나와서 그런 부분에 대해서 한 번 더 생각했다. 또 기본적인 것들을 놓쳤다고 생각해서 그런 부분에 대해 피드백을 나눴다. Q, 지난 경기에는 패배했음에도 경기력이 좋았고 오늘 경기도 완승이었다. 뒤늦게 올라온 경기력에 아쉬움은 없는지. A, 지금까지 경기하면서 이길 수 있는 경기가 많았다고 생각한다. 그런 경기들에서 이기지 못하면서 흐름을 놓친 것이 아쉽다.  Q, 세트 서포터를 선택했는데 등장 배경은. A, 준비 과정에서 상대가 노틸러스를 선호하는 것 같았고 경기에서 노틸러스가 나오게 되면 세트를 하고 싶다고 어필했다. 노틸러스가 Q 스킬을 사용할 때 세트가 W 스킬을 사용하면 딜 교환에서 무조건 이득을 보기 때문에 상대하기 좋다고 생각한다.  Q, 1세트 중반까지 팽팽했는데 본인이 생각하는 승부처는. A, 오브젝트 쪽에서 계속해서 이득을 보면서 상대 푸른 파수꾼 지역 시야를 장악한 순간이 중요했다.  Q, 2세트 초반에 갱킹으로 이득을 봤는데 어떤 콜이 있었는지. A, 밴픽을 완료하고 게임 들어가기 전에 초반 인베이드를 설계했고 그때 '고스트' 장용준의 칼리스타 점멸이 빠졌다. 그래서 일부러 상대가 라인을 빨리 밀고 집에 가고 싶을 만한 라인을 만들었고 갱킹을 부르면서 이득을 봤다.   Q, 다음 경기 상대는 kt 롤스터다. 각오 한마디. A, kt가 강한 팀이지만 잘 준비해서 연승을 해보겠다.   Q, 팬들에게 한마디. A, 아쉬운 모습을 자주 보여드리는데도 항상 응원해주셔서 감사하다. 응원에 보답하기 위해 열심히 하겠다."
"LCK의 제도 개혁, 지속 가능성을 위해 반드시 필요",https://imgnews.pstatic.net/image/origin/076/2022/08/01/3899437.jpg,https://n.news.naver.com/mnews/article/076/0003899437?sid=10779a79b,https://sports.news.naver.com/news.nhn?oid=076&aid=0003899437,https://n.news.naver.com/sports/esports/article/076/0003899437,스포츠조선,4,0,2022-07-31T21:31:02,2022-07-31T21:31:02,"국내의 대표적인 e스포츠 리그이자, 최초의 본격적인 프로스포츠를 표방하고 있는 LCK(리그 오브 레전드 챔피언스 코리아)에 3가지의 새로운 제도가 도입된다. 이를 통해 LCK 생태계의 경쟁력을 계속 이어나갈 수 있을지가 관건이다. LCK는 지난 25일 서울 종로구 LCK아레나에서 지정선수 특별협상 제도, 육성권, 공인 에이전트 제도 등을 순차적으로 시행한다고 밝혔다. 이 가운데 핵심은 팀들이 계약이 종료된 주전 선수 중 1명과 우선협상을 할 수 있는 지정선수 특별협상 제도, 그리고 자체 발굴해 육성한 신인선수들을 2년간 보유할 수 있는 육성권 등 2가지이다. LCK는 LPL(중국)과 LEC(유럽), LCS(북미) 등 다른 지역 리그와의 치열한 경쟁 속에서 예전과 같은 독보적인 선도자의 지위를 이어가진 못하고 있지만 국내 프로게이머나 코치진의 실력, 육성 시스템 등에선 여전히 비교 우위를 가지고 있다. 하지만 시장이나 투자 규모 면에선 이미 상당한 차이가 나는 상황이라, 우수한 선수들을 해외 리그에 빼앗기는 일종의 '두뇌 유출'이 빈번하게 발생하고 있다. 글로벌 단위로 선수의 유출과 유입이 활발한 축구나 야구, 배구 등과 달리 e스포츠에선 팀들의 선수 보유권에서 파생되는 이적료나 바이아웃 조항 등이 거의 없다. 물론 30대 중후반까지 현역으로 뛸 수 있는 타 스포츠에 비해 20대 말이면 대부분 은퇴, 선수 생명이 길지 않은 e스포츠의 특성에서 기인한다. 이에 더해 LCK처럼 종목을 보유한 특정 게임사가 주로 리그를 직접 개최하기에, 팀들이 가지는 선수 지배력이 거의 없다고 할 수 있다. 대부분 10대부터 활동하는 어린 선수들의 권리 보호를 위한 배려도 있다. 따라서 현재는 대부분의 선수들이 최대 2년 정도만 팀과 계약을 체결, 이후 자유롭게 다른 팀으로 이적하면서 팀들이 프랜차이즈 스타를 키우기 위해 투자하고 노력할 인센티브가 사실상 없다. 이는 결국 LCK 팀들에 대한 매력도와 가치를 떨어뜨리고, 팀에 대한 다른 산업군에서의 투자를 망설이게 하는 요인이 되고 있다. 이런 상황에서 우선 1명이기는 하지만, 영입을 원하는 다른 팀들의 조건을 확인한 상태에서 팀의 핵심 선수와 협상을 진행할 시간을 가지거나 이적료를 받을 수 있으며, 자체 육성 선수에 대한 최소 2년 보유권을 인정하는 것은 현재 LCK 소속팀들의 어려움을 다소 해결할 시발점이 될 수 있다. 에이전트 제도가 공고화될 경우 팀들과의 협상에서 선수들의 권리도 훨씬 더 보호될 수 있다. LCK의 한 팀 관계자는 ""그동안 보유권이나 이적료 등이 사실상 없어 프로스포츠 구단 운영에 필요한 수익을 담보하기 힘들었다. 조금이나마 숨통이 트일 것으로 기대한다""면서도 ""궁극적으로는 선수 수명이 조금씩 더 길어지는 것을 전제로 팀이 선수들에 대한 과감한 투자가 가능하도록 보유권 등의 확대가 반드시 필요하다""고 말했다."
"LPL, 5개월 만에 오프라인 전환...무관중 진행",https://imgnews.pstatic.net/image/origin/347/2022/08/01/165147.jpg,https://n.news.naver.com/mnews/article/347/0000165147?sid=10779a79b,https://sports.news.naver.com/news.nhn?oid=347&aid=0000165147,https://n.news.naver.com/sports/esports/article/347/0000165147,데일리e스포츠,5,0,2022-07-31T15:16:01,2022-07-31T15:16:01,"Photo=LPL 官方   LPL 서머가 9주 차 경기부터 숙소가 아닌 상하이 특설 무대로 자리를 옮겨 진행한다.  LPL을 주최하는 TJ스포츠는 31일 상하이의 코로나19 상황이 안정되면서 대회 위원회는 내부 논의와 게임단과의 소통 끝에 1일부터 오프라인으로 경기를 치르기로 했다고 밝혔다.  LPL이 상하이 특설무대로 돌아온 건 지난 3월 152일 스프링 시즌 이후 4개월 만이다. 당시 상하이 지역에 코로나19 상황이 심해지면서 정규시즌을 무관중에서 온라인으로 전환했다.  또한 코로나19 상황이 심해지면서 상하이시 봉쇄에 들어가자 두 차례 연기 끝에 플레이오프와 결승전을 치렀고 우승팀인 로얄 네버 기브 업(RNG)은 미드 시즌 인비테이셔널(MSI)을 온라인으로 참가했다.  상하이와 함께 항저우를 연고지로 하는 LGD 게이밍, 시안의 WE, 항저우의 리닝 게이밍(LNG)도 경기장에서 경기를 치른다(LNG는 이전부터 경기장에서 일정을 소화했다) 다만 오프라인 경기지만 관중은 입장이 불가능하며 모든 선수와 스태프는 경기 시작 몇 시간 전까지 24시간 사용이 가능한 코로나19 음성 확인서를 지참해야 한다."
