title,thumbnail,linkUrl,pcLinkUrl,mobileLinkUrl,officeName,rank,hitCount,updatedAt,createdAt,content
[포토] 단독 POG 받은 '룰러' 박재혁,https://imgnews.pstatic.net/image/origin/347/2022/07/13/164451.jpg,https://n.news.naver.com/mnews/article/347/0000164451?sid=10779a79b,https://sports.news.naver.com/news.nhn?oid=347&aid=0000164451,https://n.news.naver.com/sports/esports/article/347/0000164451,데일리e스포츠,1,0,1657721101000,1657721101000,"13일 오후 서울 종로구 그랑서울 롤파크 LCK 아레나에서 열린 2022 LCK 서머 5주 차 젠지 e스포츠와 리브 샌드박스의 경기서 젠지가 2대0으로 승리하며 8승 1패로 1라운드 1위를 확정지었다. 1,2세트 POG를 받은 '룰러' 박재혁."
"[포토] 젠지, '1라운드 1위 확정'",https://imgnews.pstatic.net/image/origin/347/2022/07/13/164450.jpg,https://n.news.naver.com/mnews/article/347/0000164450?sid=10779a79b,https://sports.news.naver.com/news.nhn?oid=347&aid=0000164450,https://n.news.naver.com/sports/esports/article/347/0000164450,데일리e스포츠,2,0,1657720981000,1657720981000,13일 오후 서울 종로구 그랑서울 롤파크 LCK 아레나에서 열린 2022 LCK 서머 5주 차 젠지 e스포츠와 리브 샌드박스의 경기서 젠지가 2대0으로 승리하며 8승 1패로 1라운드 1위를 확정지었다.
"[LCK] '룰러' 박재혁, 600p로 1위 등극… POG 순위 &lt; 7월 13일 기준 &gt;",https://imgnews.pstatic.net/image/origin/347/2022/07/13/164449.jpg,https://n.news.naver.com/mnews/article/347/0000164449?sid=10779a79b,https://sports.news.naver.com/news.nhn?oid=347&aid=0000164449,https://n.news.naver.com/sports/esports/article/347/0000164449,데일리e스포츠,3,0,1657720801000,1657720801000,'룰러' 박재혁.   ◆2022 리그 오브 레전드 챔피언스 코리아(LCK) 서머 POG 순위 < 7월 13일 기준 > 순위 이름 아이디 소속 포인트 1위 박재혁 Ruler 젠지 600 1위 정지훈 Chovy 젠지 500 1위 이채환 Prince 리브 샌드박스 500 1위 최우제 Zeus T1 500 5위 허수 ShowMaker 담원 기아 400 5위 문현준 Oner T1 400 5위 김하람 Aiming kt 롤스터 400 5위 김건부 Canyon 담원 기아 400 5위 서대길 deokdam 담원 기아 400 5위 이민형 Gumayusi T1 400 11위 김건우 Zeka 디알엑스 300 11위 이가을 Aria kt 롤스터 300 11위 황성훈 Kingen 디알엑스 300 11위 김동범 Croco 리브 샌드박스 300 11위 한왕호 Peanut 젠지 300 11위 박진성 Teddy 광동 프릭스 300 11위 김장겸 OnFleek 한화생명 300 11위 유수혁 FATE 광동 프릭스 300 11위 이동주 DuDu 한화생명 300 20위 손시우 Lehends 젠지 200 20위 곽보성 Bdd 농심 200 20위 김창동 Canna 농심 200 20위 김기인 Kiin 광동 프릭스 200 20위 조건희 BeryL 디알엑스 200 20위 홍창현 Pyosik 디알엑스 200 20위 류민석 Keria T1 200 20위 이주현 Clozer 리브 샌드박스 200 20위 이상혁 Faker T1 200 29위 최현준 Doran 젠지 100 29위 이진혁 Dread 농심 100 29위 김혁규 Deft 디알엑스 100 29위 김재연 Dove 리브 샌드박스 100 29위 김홍조 Karis 한화생명 100 29위 김광희 Rascal kt 롤스터 100 29위 김진홍 Kael 리브 샌드박스 100
"젠지, ‘낭만의 팀’ 잡고 1위로 정규 반환점",https://imgnews.pstatic.net/image/origin/005/2022/07/13/1539803.jpg,https://n.news.naver.com/mnews/article/005/0001539803?sid=10779a79b,https://sports.news.naver.com/news.nhn?oid=005&aid=0001539803,https://n.news.naver.com/sports/esports/article/005/0001539803,국민일보,4,0,1657720502000,1657720502000,"젠지가 낭만 시대의 종식을 선언했다. 젠지는 13일 서울 종로구 LCK 아레나에서 펼쳐진 ‘2022 LoL 챔피언스 코리아(LCK)’ 서머 시즌 정규 리그 1라운드 마지막 경기에서 리브 샌박에 2대 0으로 완승했다. 이날 승리로 젠지는 8승1패(+14)를 기록, 단독 1위로 1라운드를 마쳤다. 공격적인 팀 컬러로 ‘낭만의 팀’ 열풍을 일으키고, 5연승을 달려왔던 리브 샌박의 기세를 젠지가 꺾었다. 뛰어난 라인전 체급이 승리 요인이었다. 젠지는 3개 라인에서 모두 완승을 거둬 1세트를 19분 만에 끝냈다. 두 번째 협곡의 전령을 소환한 뒤 넥서스 앞 포탑 앞까지 호송했다. 2세트 땐 코르키와 유미로 후반 캐리력을 살리는 조합을 짜고, 역전승을 거뒀다. 초반 미드·정글 주도권을 리브 샌박에 내줘 애를 먹기도 했지만, 두 번째 전령 전투에서 ‘쵸비’ 정지훈(코르키)의 활약으로 에이스를 띄워 역전에 성공했다. 젠지는 24분쯤 리브 샌박이 사냥하던 내셔 남작을 스틸해 확실한 승기를 잡았다. 이들은 버프를 활용해 억제기 2개를 부순 뒤 본진으로 귀환한 척 상대방을 속였다. 찰나의 순간, 앞으로 튀어나온 리브 샌박 본대를 물어 에이스를 띄우고, 그대로 게임을 끝냈다."
[LCK] '1R 단독 1위' 지킨 젠지…팀 순위 &lt; 7월 13일 기준 &gt;,https://imgnews.pstatic.net/image/origin/347/2022/07/13/164448.jpg,https://n.news.naver.com/mnews/article/347/0000164448?sid=10779a79b,https://sports.news.naver.com/news.nhn?oid=347&aid=0000164448,https://n.news.naver.com/sports/esports/article/347/0000164448,데일리e스포츠,5,0,1657720381000,1657720381000,젠지.   ◆2022 리그 오브 레전드 챔피언스 코리아(LCK) 서머 팀 순위 < 7월 13일 기준 > 순위 이름 승패 세트득실(세트승-세트패) 1위 젠지 8승1패 +14(17-3) 2위 T1 8승1패 +12(17-5) 3위 리브 샌드박스 6승3패 +4(12-8) 4위 담원 기아 5승3패 +6(12-6) 5위 디알엑스 5승3패 +3(11-8) 6위 광동 프릭스 4승4패 -3(8-11) 7위 kt 롤스터 3승5패 -3(8-11) 8위 농심 레드포스 2승6패 -8(5-13) 9위 한화생명 1승8패 -10(7-17) 10위 프레딧 브리온 0승8패 -15(1-16)
"[LCK 서머] 2세트 역전한 젠지, 2:0으로 샌박 잡고 1위 수성",https://imgnews.pstatic.net/image/origin/442/2022/07/13/151529.jpg,https://n.news.naver.com/mnews/article/442/0000151529?sid=10779a79b,https://sports.news.naver.com/news.nhn?oid=442&aid=0000151529,https://n.news.naver.com/sports/esports/article/442/0000151529,인벤,6,0,1657720381000,1657720381000,"젠지 e스포츠가 불리함을 딛고 2세트를 역전, 리브 샌드박스를 상대로 2:0 승리를 거뒀다. 이번 승리로 젠지 e스포츠는 1라운드를 단독 1위로 마쳤다.  선취점은 '도브' 김재연의 갱플랭크가 챙겼다. '크로코' 김동범의 트런들을 피해 도망가던 '쵸비' 정지훈의 코르키를 잡았다. '룰러' 박재혁의 이즈리얼과 '리헨즈' 손시우의 유미가 라인 킬을 만들어내긴 했지만, 이후 봇에 인원을 집중한 리브 샌드박스가 둘 다 잡아내며 복수에 성공했다. 탑에서는 갱플랭크가 무리하게 들어온 '도란' 최현준의 나르를 상대로 솔로 킬을 올렸다.  리브 샌드박스가 미드에서 한 번 더 득점했다. 미드 역갱킹을 통해 '피넛' 한왕호의 뽀삐를 잡은 것. '클로저' 이주현 아지르의 부드러운 갱 회피와 트런들-갱플랭크의 적절한 지원, 뽀삐를 노리는 과감한 판단이 좋았다. 그렇게 트런들을 필두로 리브 샌드박스의 스노우볼은 급격하게 굴러갔다. 봇에서 무려 4킬을 추가하면서 확실한 격차를 벌렸다.  하지만, 그대로 무너질 젠지 e스포츠가 아니었다. 협곡의 전령 한타에서 다소 균형이 흐트러진 리브 샌드박스의 챔피언을 완벽히 잡아먹으면서 한타를 대승했다. 진영을 가르는 코르키의 슈퍼 발키리가 좋았고, 리브 샌드박스 입장에선 잘 큰 갱플랭크가 고립된 게 너무 치명적이었다. 젠지 e스포츠가 미드 다이브로 추가 득점하면서 흐름은 완전히 팽팽해졌다.  드래곤 한타에서는 승리한 리브 샌드박스가 바론으로 달렸는데, 여기서 균형의 추가 완전히 기울었다. 이즈리얼과 코르키의 포킹에 '프린스' 이채환의 아펠리오스가 잡히는 변수가 발생했고, 전투는 당연히 대패였다. 바론도 젠지 e스포츠가 스틸했다. 리브 샌드박스는 한순간에 많은 것을 잃고 말았다. 바론 버프와 함께 적진으로 진격한 젠지 e스포츠는 그대로 경기를 끝냈다.  ■ 2022 LCK 서머 스플릿 정규 시즌 21일 차 경기 결과 1경기 한화생명e스포츠 vs   T1   1세트 한화생명e스포츠 패 vs  승 T1 2세트  한화생명e스포츠 승  vs 패 T1 3세트 한화생명e스포츠 패 vs  승 T1 2경기  젠지 e스포츠 2  vs 0 리브 샌드박스 1세트  젠지 e스포츠 승  vs 패 리브 샌드박스 2세트  젠지 e스포츠 승  vs 패 리브 샌드박스 ■ 2022 LCK 서머 스플릿 정규 시즌 순위 현황 1위 젠지 e스포츠 8승 1패 +14 2위 T1 8승 1패 +12 3위 리브 샌드박스 6승 3패 +4 4위 담원 기아 5승 3패 +6 5위 DRX 5승 3패 + 3 6위 광동 프릭스 4승 4패 -3 7위 kt 롤스터 3승 5패 -3 8위 농심 레드포스 2승 6패 -8 9위 한화생명e스포츠 1승 8패 -10 10위 프레딧 브리온 0승 8패 -15 ■ 2022 LCK 서머 스플릿 정규 시즌 22일 차 일정 1경기 kt 롤스터 vs DRX - 13일 오후 5시 2경기 담원 기아 vs 광동 프릭스"
"[LCK] 젠지, 리브 샌박 연승 저지하며 선두 유지",https://imgnews.pstatic.net/image/origin/347/2022/07/13/164447.jpg,https://n.news.naver.com/mnews/article/347/0000164447?sid=10779a79b,https://sports.news.naver.com/news.nhn?oid=347&aid=0000164447,https://n.news.naver.com/sports/esports/article/347/0000164447,데일리e스포츠,7,0,1657720201000,1657720201000,"젠지e스포츠가 연승을 달리던 리브 샌드박스를 멈춰세우며 선두 자리를 지켰다.  젠지가 13일 서울 종로구 그랑서울 LCK아레나에서 진행된 2022 리그 오브 레전드 챔피언스 코리아 서머 1라운드에서 리브 샌드박스를 2대0으로 제압했다. 1세트를 압도적인 경기력으로 잡아낸 젠지는 난타전 끝에 2세트도 승리하며 깔끔하게 경기를 마무리했다.  젠지는 경기 초반 미드-정글 싸움에서 밀리며 불리하게 출발했다. 상대의 공세를 침착하게 받아낸 젠지는 바텀에서 이득을 보기 시작했다. 이즈리얼-유미 조합을 선택한 '룰러' 박재혁과 '리헨즈' 손시우가 '카엘' 김진홍의 탐켄치를 잡아냈다. 바텀에서 주도권을 잡은 젠지는 바텀 듀오를 전령 쪽으로 불러 첫 번째 전령을 가져가는 것에도 성공했다.  바텀에서 이득을 보던 젠지는 10분 상대의 노림수에 손해를 봤다. 잘 성장한 바텀 듀오가 모두 잡혔고 동시에 탑에서 나르를 플레이한 '도란' 최현준이 '도브' 김재연의 갱플랭크에게 솔로 킬을 허용했다.  '크로코' 김동범의 공격적인 움직임에 연이어 손해를 보던 젠지는 19분 전령 앞 전투에서 분위기를 반전했다. '피넛' 한왕호가 뽀삐로 전령을 빼앗았고 이어진 한타에서 상대를 모두 잡아내며 분위기를 잡았다. 흐름을 탄 젠지는 20분 한타에서도 파괴력을 보여주며 승리해 추가 이득을 봤다.  24분 한타에서 바론을 빼앗은 젠지는 한타에서도 대승을 거두며 승기를 잡았다. 바론 버프와 함께 미드-바텀 억제기를 밀어낸 젠지는 골드 차이를 5,000 이상으로 벌렸다. 결국 28분 한타에서 대승을 거두며 경기를 2대0으로 마무리했다."
[LCK] ‘48분 7초’ 만에 리브 샌박 제압한 젠지(종합),https://imgnews.pstatic.net/image/origin/236/2022/07/13/225601.jpg,https://n.news.naver.com/mnews/article/236/0000225601?sid=10779a79b,https://sports.news.naver.com/news.nhn?oid=236&aid=0000225601,https://n.news.naver.com/sports/esports/article/236/0000225601,포모스,8,0,1657720201000,1657720201000,"젠지가 압도적인 경기력을 선보이며 빠르게 리브 샌박을 제압했다. 이날 경기를 통해 젠지는 1라운드를 1위로 마무리했다. 13일 서울 종로구에 위치한 롤파크에서 진행된 ‘2022 리그 오브 레전드 챔피언스 코리아(LCK)’ 서머 스플릿 5주 1일차 2경기에서 젠지가 리브 샌박에 2대 0으로 승리했다. 젠지가 상대보다 더욱 뛰어난 체급을 선보였다. 밴픽 단계에서 빠르게 제리-유미 조합을 완성시킨 젠지. 바텀 듀오의 활약에 힘입어 리브 샌박과의 소규모 교전 및 오브젝트 교전들에서 승리를 거두며 빠르게 흐름을 가져갔다. 유미의 지원을 받은 제리는 상대 정글 지역을 휩쓸며 자신의 화력을 뽐냈고, 두 번째 전령을 획득한 ‘피넛’ 한왕호의 오공은 미드 지역에 전령을 소환해 상대 억제기를 철거했다. 이 과정에서 리브 샌박의 선수들도 싸움을 피하지 않으며 양 팀의 교전이 치러졌고, 젠지는 리브 샌박을 상대로 에이스를 띄운 후 19분 만에 1세트를 승리로 장식했다. 2세트 리브 샌박은 달라진 모습을 보여줬다. 좋은 호흡을 선보인 리브 샌박은 라인전 단계에서 젠지의 모든 라이너들을 상대로 킬 포인트를 올리며 이득을 챙겼다. 이후에도 리브 샌박은 젠지의 챔피언들을 연이어 쓰러뜨리며 경기의 흐름을 가져갔다. 그러나 젠지는 만만하지 않았다. 두 번째 전령 등장 후 전령을 획득한 젠지. 싸움을 피할 이유 없던 리브 샌박은 젠지에게 싸움을 걸었지만 젠지의 선수들은 리브 샌박을 상대로 에이스를 띄우며 한순간에 경기의 흐름을 뒤집었다. 리브 샌박은 바론 사냥을 통해 반전을 꾀했다. 그러나 젠지는 바론을 사냥하던 리브 샌박의 선수들을 무릎 꿇리며 내셔 남작을 처치했다. 이후 상대 본진으로 진격한 젠지는 상대 챔피언들을 쓰러뜨리며 상대 넥서스를 철거했다."
"'1R 최강팀은 우리!' 젠지, 리브 샌박에 역전승…'1위 수성' [LCK]",https://imgnews.pstatic.net/image/origin/311/2022/07/13/1474821.jpg,https://n.news.naver.com/mnews/article/311/0001474821?sid=10779a79b,https://sports.news.naver.com/news.nhn?oid=311&aid=0001474821,https://n.news.naver.com/sports/esports/article/311/0001474821,엑스포츠뉴스,9,0,1657720141000,1657720141000,"(엑스포츠뉴스 김수정 기자) 젠지가 1위 자리를 지켜냈다. 13일 서울 종로구에 위치한 롤파크에서는 '2022 LCK 서머' 1라운드 5주 차, 젠지 대 리브 샌드박스의 경기가 치러졌다. 이날 젠지에서는 '도란' 최현준, '피넛' 한왕호, '쵸비' 정지훈, '룰러' 박재혁, '리헨즈' 손시우가 출전했고 리브 샌드박스에서는 '도브' 김재연, '크로코' 김동범, '클로저' 이주현, '프린스' 이채환, '카엘' 김진홍이 나왔다. 2세트에서 리브 샌드박스는 갱플랭크, 트런들, 아지르, 아펠리오스, 탐켄치를 픽했고, 젠지는 나르, 뽀삐, 코르키, 이즈리얼, 유미를 선택했다. 선취점은 리브 샌드박스가 가져갔다. 앞서 날카로운 갱킹을 통해 쵸비의 점멸을 빼놨던 크로코는 피가 많지 않은 쵸비를 한 번 더 노렸고, 도브에게 킬을 양보했다. 크로코는 미드 주도권과 바텀 주도권을 바탕으로 첫 번째 드래곤인 바람용을 처치했다. 카엘은 룰러를 노렸지만 실패하면서 되레 죽고 말았다. 이후 룰러와 리헨즈는 바텀에 혼자 있는 프린스를 잡으려 했지만 리브 샌드박스의 빠른 합류로 실패하고 2킬을 내줬다. 탑에서는 도브가 도란을 잡아내며 이득을 봤다. 두 번째 드래곤인 바다용을 가져간 피넛은 미드 갱킹을 시도했지만 실패했고, 크르코, 클로저, 도브의 합공에 당해버렸다. 킬을 획득한 리브 샌드박스의 화력이 폭발했다. 바텀에서 피넛을 잡아낸 리브 샌드박스는 이어 룰러, 리헨즈를 쓰러뜨린 후 쵸비까지 잡아내며 성장 차이를 벌렸다. 리브 샌드박스는 미드 1차 포탑과 바텀 1차 포탑을, 젠지는 미드 1차 포탑을 철거한 가운데 세 번째 드래곤인 마법공학 용은 리브 샌드박스의 차지가 됐다. 젠지가 두 번째 전령을 치자 리브 샌드박스가 이를 막으러 달려오면서 대규모 한타가 열렸다. 전령의 눈을 획득한 젠지는 피넛을 잃었지만 에이스를 띄우며 순식간에 상황을 역전시켰다. 이어 젠지는 미드에서 프린스를 잡아내고 2차 포탑까지 제거했지만 네 번째 드래곤인 마법공학 용을 두고 대치하는 과정에서 피넛, 리헨즈를 제외한 모두를 잃게 됐다. 한타에서 대승을 거둔 리브 샌드박스는 바론으로 향했지만, 젠지의 포킹에 프린스를 잃고 바론 버프까지 빼앗기면서 다시금 위기에 처했다. 젠지는 바론 버프를 활용해 미드 억제기와 바텀 억제기를 제거했다. 이에 그치지 않고 밀고 들어온 젠지는 리브 샌드박스를 전멸시키고 넥서스를 파괴하며 2-0으로 승리를 거뒀다. 사진=엑스포츠뉴스DB"
"젠지, LCK 서머 시즌 최단 경기 시간 달성",https://imgnews.pstatic.net/image/origin/005/2022/07/13/1539800.jpg,https://n.news.naver.com/mnews/article/005/0001539800?sid=10779a79b,https://sports.news.naver.com/news.nhn?oid=005&aid=0001539800,https://n.news.naver.com/sports/esports/article/005/0001539800,국민일보,10,0,1657718642000,1657718642000,"LCK 제공 젠지가 기존 최단 기록보다 약 4분 앞당긴 19분 35초 만에 경기를 마무리했다. 젠지는 13일 서울 종로구 LCK 아레나에서 열린 ‘2022 LoL 챔피언스 코리아(LCK)’ 서머 시즌 정규 리그 경기 1세트에서 리브 샌드박스를 상대로 승리했다. 서머 시즌 최단 경기 시간으로 승리를 거둬 경기장이 달아올랐다. 선수들은 각각 최고의 기량을 보였다. ‘피넛’ 한왕호는 암흑 시야 플레이로 ‘크로코’ 김동범이 공을 들이던 용을 빼앗았다. ‘쵸비’ 정지훈은 바텀 라인전에서 활약했다. 호위 없이 멀리 나온 ‘프린스’ 이채환을 솔로킬했다. 두 번째 용을 앞두고 젠지 성장세는 더 빨라졌다. 한왕호와 ‘리헨즈’ 손시우는 각각 1킬을 해내며 14분에 킬 격차는 7대 1로 벌어졌다. ‘룰러’ 박재혁이 학살 전을 펼치며 17분에 양 팀의 골드 차이가 1만을 넘기 시작했다. 젠지는 멈추지 않고 상대 진영으로 침범했다. 협곡의 전령은 미드 억제기 타워 앞에서 돌진했다. 19분에 에이스를 띄우며 리브 샌박은 사면초가로 몰렸다. 20분도 안 돼서 경기는 마무리됐다. 해설진은 “제리, 유미를 풀어?”라며 젠지의 픽을 칭찬했다. 제리-유미 조합으로 스노우볼을 빠르게 굴렸다는 평이다."
